city,latitude,longitude,areaCode
Rocky Mount,35.9216,-77.7315,252
Durham,35.8896,-78.9244,919
Matthews,35.0905,-80.6947,704
Sanford,35.5153,-79.2007,919
Hickory,35.6767,-81.385,828
Cary,35.8059,-78.7997,919
Morrisville,35.8601,-78.8326,919
Greenville,35.6876,-77.1661,252
Wilmington,34.1256,-77.919,910
Raleigh,35.8181,-78.5636,919
New Bern,35.162,-76.9585,252
Raleigh,35.8713,-78.5394,919
Cary,35.7509,-78.7789,919
Raleigh,35.9341,-78.7166,919
Durham,36.0378,-78.9858,919
Chapel Hill,35.9666,-79.041,919
Washington,35.5805,-77.0127,252
Oriental,35.0632,-76.7017,252
Fuquay Varina,35.5446,-78.8309,919
Raleigh,35.8204,-78.6783,919
Durham,35.9925,-78.9017,919
Jacksonville,34.7595,-77.5019,910
Southern Pines,35.1752,-79.3834,910
Edenton,36.1213,-76.6414,252
Fayetteville,35.0785,-78.9336,910
Winston Salem,36.146,-80.3243,336
Mocksville,35.8987,-80.5741,336
Concord,35.4198,-80.6748,704
Cherokee,35.5161,-83.2733,828
Charlotte,35.1232,-80.9343,704
Durham,36.0355,-78.8391,919
Greensboro,36.0074,-79.8732,336
Greensboro,36.1059,-79.8165,336
Rutherfordton,35.3404,-82.0261,828
Jamestown,35.9952,-79.9294,336
Charlotte,35.2519,-80.8211,704
Charlotte,35.2277,-80.8439,704
Hickory,35.7666,-81.3355,828
Hickory,35.7217,-81.3603,828
Charlotte,35.3366,-80.7958,704
Greensboro,35.9899,-79.6984,336
Shelby,35.3625,-81.5741,704
Raleigh,35.7463,-78.7239,919
Charlotte,35.1707,-80.792,704
Asheville,35.5683,-82.6272,828
Greensboro,36.1051,-79.9651,336
Raleigh,35.848,-78.7004,919
Hillsborough,36.0755,-79.0741,919
Dunn,35.2763,-78.5468,910
Raleigh,35.8278,-78.6421,919
Durham,35.9466,-78.7977,919
Angier,35.4832,-78.6798,919
Warsaw,34.986,-78.0524,910
Wallace,34.7316,-77.9353,910
Kill Devil Hills,36.02,-75.6699,252
Lexington,35.8738,-80.3333,336
Sanford,35.4414,-79.1693,919
Southport,33.997,-78.0729,910
Pittsboro,35.7519,-79.2248,919
New Bern,35.1427,-77.163,252
Durham,35.9954,-78.9019,919
Goldsboro,35.3673,-77.9122,919
Durham,35.95,-78.9616,919
Fayetteville,34.9645,-78.7417,910
High Point,36.0162,-80.0434,336
Wilson,35.68,-77.9126,252
Statesville,35.725,-80.9069,704
Clinton,34.9861,-78.3434,910
Charlotte,35.3014,-80.8983,704
Fort Bragg,35.1462,-78.9943,910
Asheville,35.59,-82.5581,828
Hendersonville,35.3621,-82.5082,828
Huntersville,35.4034,-80.8611,704
Lumberton,34.6008,-78.9673,910
Charlotte,35.1074,-80.8258,704
Forest City,35.3148,-81.8668,828
Charlotte,35.1681,-80.9153,704
Lenoir,35.9726,-81.5513,828
Thomasville,35.8535,-80.1084,336
Hendersonville,35.3902,-82.3725,828
Kings Mountain,35.2558,-81.3707,704
Mount Holly,35.3235,-81.0215,704
Matthews,35.1063,-80.712,704
Mooresville,35.589,-80.768,704
Charlotte,35.2344,-80.9091,704
Statesville,35.8038,-80.9018,704
Arden,35.4589,-82.6035,828
Conover,35.7427,-81.2094,828
Laurinburg,34.7678,-79.4639,910
Lenoir,35.9376,-81.5398,828
Charlotte,35.3284,-80.7459,704
Charlotte,35.112,-80.7617,704
Raleigh,35.7716,-78.6356,919
Charlotte,35.0508,-80.8186,704
Kinston,35.2375,-77.6151,252
Asheville,35.6219,-82.4709,828
Morganton,35.7612,-81.728,828
Bakersville,36.0403,-82.1599,828
Cherryville,35.3945,-81.3888,704
Charlotte,35.1768,-80.8544,704
Charlotte,35.206,-80.829,704
Charlotte,35.1311,-80.8512,704
Fayetteville,35.0246,-78.9968,910
Whitsett,36.0413,-79.6064,336
Greensboro,36.0714,-79.7679,336
Clemmons,36.0079,-80.3697,336
Greensboro,36.1207,-79.8946,336
Winston Salem,36.0536,-80.3154,336
Greensboro,36.1147,-79.7422,336
Greensboro,36.0844,-79.8209,336
Eden,36.5054,-79.7394,336
Winston Salem,36.1195,-80.1737,336
Winston Salem,36.0978,-80.3223,336
Asheboro,35.6951,-79.8066,336
Advance,35.9446,-80.4391,336
Burlington,35.9894,-79.5047,336
Troy,35.4273,-79.9582,910
Kernersville,36.1172,-80.0765,336
Winston Salem,36.0864,-80.2636,336
Asheville,35.6473,-82.5512,828
Sandy Ridge,36.4802,-80.0971,336
West Jefferson,36.3546,-81.4728,336
Jefferson,36.3964,-81.3993,336
Winston Salem,36.0004,-80.1748,336
Winston Salem,36.1655,-80.2432,336
King,36.322,-80.3379,336
Welcome,35.9077,-80.2544,336
Goldsboro,35.3665,-78.0849,919
Kinston,35.194,-77.5377,252
Greenville,35.5235,-77.3008,252
Wilmington,34.2725,-77.8585,910
Pope A F B,35.1734,-79.0138,910
Rocky Mount,35.9864,-77.852,252
Raleigh,35.8874,-78.751,919
Raleigh,35.7434,-78.5361,919
Roanoke Rapids,36.429,-77.7247,252
Henderson,36.3301,-78.4083,252
Raleigh,35.6838,-78.6636,919
Wilmington,34.2205,-77.8702,910
Louisburg,36.0902,-78.2154,919
Siler City,35.7172,-79.446,919
Raleigh,35.7887,-78.6549,919
Rocky Mount,35.9368,-77.819,252
,35.5762,-79.531,
Smithfield,35.4813,-78.3514,919
Newport,34.7766,-76.8867,252
Boone,36.2191,-81.6563,828
Apex,35.7114,-78.8862,919
Cherry Point,34.9038,-76.9,252
Shallotte,33.9814,-78.4121,910
Leland,34.2432,-78.0996,910
Hope Mills,34.9273,-78.9093,910
Sunset Beach,33.9269,-78.5219,910
Pinehurst,35.1936,-79.4613,910
Raleigh,35.843,-78.6311,919
Burlington,36.1943,-79.396,336
Charlotte,35.2936,-80.735,704
Taylorsville,35.9183,-81.2002,828
Murphy,35.1397,-84.0923,828
Cashiers,35.0842,-83.094,828
Charlotte,35.2527,-80.6929,704
Morganton,35.7612,-81.728,828
Marion,35.7387,-82.0548,828
Granite Quarry,35.6141,-80.4391,704
Mill Spring,35.3566,-82.1574,828
Mount Ulla,35.6605,-80.7046,704
Highlands,35.0751,-83.2101,828
Fletcher,35.4608,-82.4715,828
Charlotte,35.26,-80.8042,212
Wilmington,34.3174,-77.9887,910
Raleigh,35.7977,-78.6253,919
Tryon,35.2406,-82.0487,828
Canton,35.4597,-82.8677,828
Monroe,35.0691,-80.5302,704
Pineville,35.0776,-80.8907,704
Kinston,35.2157,-77.5764,252
Autryville,35.0313,-78.6262,910
Hayesville,35.0739,-83.7051,828
Jonesville,36.219,-80.8126,336
Thomasville,35.8535,-80.1084,336
Asheboro,35.7382,-79.769,336
Wilkesboro,36.1425,-81.1635,336
Lexington,35.7362,-80.1931,336
Clayton,35.6263,-78.4371,919
Snow Hill,35.4448,-77.6892,252
Morehead City,34.7386,-76.7677,252
Mccutcheon Field,34.6921,-77.3912,910
Winterville,35.5127,-77.4146,252
Fort Bragg,35.0506,-78.8038,910
Camp Lejeune,34.6403,-77.3043,910
Lowgap,36.518,-80.8348,336
Denton,35.614,-80.0952,336
Oxford,36.3482,-78.6463,919
Norwood,35.2183,-80.1598,704
Salisbury,35.6872,-80.5669,704
Waynesville,35.6346,-83.023,828
Climax,35.8933,-79.7066,336
Gastonia,35.2298,-81.2428,704
Rockingham,34.9302,-79.767,910
Charlotte,35.2264,-80.8453,704
Charlotte,35.2077,-80.86,704
New London,35.452,-80.1727,704
Cornelius,35.4699,-80.8801,704
Charlotte,35.206,-80.829,704
Burnsville,35.8807,-82.3095,828
Woodleaf,35.7909,-80.6023,704
Salisbury,35.6267,-80.4218,704
Pinebluff,35.0947,-79.4857,910
Denver,35.5064,-81.0371,704
Maiden,35.5779,-81.1677,828
Charlotte,35.206,-80.829,704
Hildebran,35.7199,-81.4208,828
Mount Airy,36.4617,-80.6191,336
Belhaven,35.6169,-76.485,252
Trinity,35.8032,-79.9827,336
Star,35.4355,-79.7967,910
Winston Salem,36.0864,-80.2636,336
Lewisville,36.091,-80.4398,336
Selma,35.5848,-78.2461,919
Bolivia,34.015,-78.1685,910
Severn,36.5147,-77.1917,252
Corolla,36.3897,-75.8347,252
Elizabethtown,34.6849,-78.5435,910
Beulaville,34.9022,-77.7451,910
Ocracoke,35.1304,-75.9164,252
Aberdeen,35.106,-79.4507,910
Fayetteville,35.0407,-78.9024,910
Youngsville,35.9948,-78.4405,919
Madison,36.3702,-79.968,336
Franklin,35.1833,-83.4307,828
Gastonia,35.2617,-81.1485,704
Mebane,36.1399,-79.2665,919
Newton,35.6348,-81.2391,828
Sanford,35.3674,-79.138,919
Alexander,35.6902,-82.6476,828
Mooresville,35.5675,-80.8908,704
Waynesville,35.4499,-82.9761,828
Old Fort,35.6284,-82.1959,828
Asheville,35.5912,-82.546,828
Statesville,35.8826,-80.8967,704
Benson,35.4177,-78.5005,919
